id,company_name,industry,number
137,先鋒材料科技股份有限公司,民間產業/電子,2
138,訊真科技股份有限公司,民間產業/資訊,3
139,行政院原子能委員會核能研究所,公立研究機關（構）/,13
140,金寶電子工業股份有限公司,民間產業/電子,4
141,經貿聯網科技股份有限公司,民間產業/資訊,8
142,嘉實資訊股份有限公司,民間產業/資訊,6
143,原盛科技股份有限公司,民間產業/半導體,3
144,松翰科技股份有限公司,民間產業/半導體,9
145,環球晶圓股份有限公司,民間產業/半導體,10
146,旺宏電子股份有限公司,民間產業/半導體,42
147,安華聯網科技股份有限公司,民間產業/資訊,1
148,光興國際股份有限公司,民間產業/半導體,5
149,昇佳電子股份有限公司,民間產業/電子,1
150,思創影像科技股份有限公司,民間產業/數位內容,1
151,力領科技股份有限公司,民間產業/半導體,1
152,力旺電子股份有限公司,民間產業/半導體,2
153,訊舟科技股份有限公司,民間產業/通訊,5
154,樺賦科技股份有限公司,民間產業/資訊,2
155,聯合通商電子商務股份有限公司,民間產業/資訊,1
156,緯穎科技服務股份有限公司,民間產業/資訊,12
157,衛生福利部疾病管制署,政府機關/,24
158,意象無限股份有限公司,民間產業/電子,3
159,洲晟實業股份有限公司,民間產業/金屬,2
160,愛盛科技股份有限公司,民間產業/半導體,4
161,宏碁股份有限公司,民間產業/資訊,29
162,台灣數位學習科技股份有限公司,民間產業/數位內容,2
163,台灣氣立股份有限公司,民間產業/機械,5
164,科盛科技股份有限公司,民間產業/資訊,3
165,廣積科技股份有限公司,民間產業/電子,3
166,定興科技股份有限公司,民間產業/資訊,2
167,台揚科技股份有限公司,民間產業/通訊,6
169,鋐寶科技股份有限公司,民間產業/通訊,6
170,金麗科技股份有限公司,民間產業/半導體,2
171,致茂電子股份有限公司,民間產業/電機,19
172,台灣聚合化學品股份有限公司,民間產業/民生化工生技,9
173,易享科技股份有限公司,民間產業/資訊,5
174,週可思股份有限公司,民間產業/資訊,1
175,大量科技股份有限公司,民間產業/機械,3
176,衛生福利部桃園醫院,政府機關/,1
177,中化合成生技股份有限公司,民間產業/民生化工生技,3
178,宇峻奧汀科技股份有限公司,民間產業/數位內容,1
180,機光照明股份有限公司,民間產業/光電,2
181,榮田精機股份有限公司,民間產業/機械,1
183,英丰寶資訊股份有限公司,民間產業/資訊,3
185,臻賞工業股份有限公司,民間產業/機械,3
186,光寶科技股份有限公司,民間產業/電子,88
188,台林電通股份有限公司,民間產業/通訊,3
189,技嘉科技股份有限公司,民間產業/資訊,7
190,保音股份有限公司,民間產業/電子,1
191,台灣類比科技股份有限公司,民間產業/半導體,4
192,銀濎科技股份有限公司,民間產業/資訊,2
194,鎰福電子股份有限公司,民間產業/電機,2
195,祥碩科技股份有限公司,民間產業/半導體,6
196,正基科技股份有限公司,民間產業/通訊,3
197,晶睿通訊股份有限公司,民間產業/通訊,6
198,通嘉科技股份有限公司,民間產業/電子,2
199,三皇化工企業股份有限公司,民間產業/民生化工生技,2
200,英屬維京群島商輝達維京股份有限公司台灣分公司,民間產業/半導體,32
201,群暉科技股份有限公司,民間產業/資訊,45
202,東元精電股份有限公司,民間產業/機械,2
203,聖洋科技股份有限公司,民間產業/資訊,6
204,視達威科技股份有限公司,民間產業/通訊,4
205,財團法人工業技術研究院,財團法人研究機構/,147
206,矽創電子股份有限公司,民間產業/半導體,8
207,鈦思科技股份有限公司,民間產業/資訊,3
208,森淨科技股份有限公司,民間產業/資訊,1
209,威鋒電子股份有限公司,民間產業/半導體,7
210,瑞鼎科技股份有限公司,民間產業/半導體,4
211,台萬工業股份有限公司,民間產業/機械,1
212,衛生福利部中央健康保險署,政府機關/,7
213,國立中興大學,大學校院/,10
214,財團法人食品工業發展研究所,財團法人研究機構/,2
